image_index,label,average_precision
0,1,0.80528
1,1,0.80784
2,1,0.80397
3,1,0.79885
4,1,0.77852
5,1,0.811
6,1,0.81012
7,1,0.84302
8,1,0.72886
9,1,0.55174
10,1,0.76978
11,1,0.8003
12,1,0.77105
13,1,0.80633
14,1,0.85994
15,1,0.72936
16,1,0.81517
17,1,0.79022
18,1,0.78
19,1,0.76969
20,1,0.58144
21,1,0.42835
22,1,0.07086
23,1,0.55978
24,1,0.69369
25,1,0.48209
26,1,0.54024
27,2,0.96477
28,2,0.99221
29,2,0.97724
30,2,0.9684
31,2,0.94213
32,2,0.94288
33,2,0.97654
34,2,0.97438
35,2,0.97733
36,2,0.98723
37,2,0.98151
38,2,0.99232
39,2,0.97406
40,2,0.97859
41,2,0.90785
42,2,0.98471
43,2,0.90188
44,2,0.97864
45,2,0.85004
46,2,0.9869
47,2,0.88797
48,2,0.71864
49,2,0.97992
50,2,0.98318
51,2,0.81954
52,2,0.99436
53,2,0.93411
54,2,0.98362
55,2,0.99873
56,2,0.78173
57,2,0.98951
58,2,0.98088
59,2,0.97547
60,2,0.95473
61,2,0.97158
62,2,0.99568
63,2,0.93072
64,2,0.98418
65,2,0.98535
66,2,0.9944
67,2,0.91885
68,2,0.99792
69,2,0.97705
70,2,0.97276
71,2,0.96356
72,2,0.91794
73,2,0.98152
74,2,0.959
75,2,0.98714
76,3,0.68959
77,3,0.65741
78,3,0.66434
79,3,0.70719
80,3,0.62425
81,3,0.40864
82,3,0.47676
83,3,0.65126
84,3,0.29532
85,3,0.61804
86,3,0.04231
87,3,0.60848
88,3,0.61097
89,3,0.47286
90,3,0.2333
91,3,0.52115
92,3,0.76348
93,3,0.56572
94,3,0.18389
95,3,0.66328
96,3,0.68477
97,3,0.53762
98,3,0.64609
99,3,0.6457
100,3,0.73082
101,3,0.60199
102,3,0.74735
103,3,0.59015
104,3,0.35938
105,3,0.48443
106,3,0.32584
107,3,0.51245
108,3,0.39868
109,3,0.55229
110,3,0.23987
111,3,0.44182
112,4,0.96132
113,4,0.76002
114,4,0.71824
115,4,0.92573
116,4,0.7916
117,4,0.27452
118,4,0.72729
119,4,0.77342
120,4,0.79743
121,4,0.7842
122,4,0.4084
123,4,0.8698
124,4,0.84551
125,4,0.36224
126,4,0.84334
127,4,0.76805
128,4,0.81094
129,4,0.70122
130,4,0.86588
131,4,0.7593
132,4,0.83549
133,4,0.07038
134,4,0.53973
135,4,0.59365
136,4,0.63654
137,4,0.82219
138,4,0.84717
139,4,0.06034
140,4,0.93312
141,4,0.80125
142,4,0.39734
143,4,0.91119
144,4,0.09603
145,4,0.94035
146,4,0.89851
147,4,0.32702
148,4,0.82189
149,4,0.84355
150,4,0.84458
151,4,0.89845
152,4,0.96371
153,4,0.71438
154,4,0.73038
155,4,0.76283
156,5,0.61418
157,5,0.73883
158,5,0.8297
159,5,0.84859
160,5,0.91242
161,5,0.9365
162,5,0.8474
163,5,0.9398
164,5,0.71234
165,5,0.8573
166,5,0.87252
167,5,0.76293
168,5,0.96264
169,5,0.89717
170,5,0.95508
171,5,0.79717
172,5,0.81827
173,5,0.77522
174,5,0.85932
175,5,0.7774
176,5,0.75991
177,5,0.81637
178,5,0.92062
179,5,0.93076
180,5,0.755
181,5,0.84595
182,5,0.77556
183,5,0.91006
184,5,0.84932
185,5,0.81031
186,5,0.91256
187,5,0.84701
188,5,0.8773
189,5,0.92252
190,5,0.76391
191,5,0.78461
192,5,0.84968
193,5,0.75799
194,5,0.73655
195,5,0.89592
196,5,0.85286
197,5,0.7809
198,5,0.82199
199,5,0.8836
200,5,0.90061
201,5,0.82252
202,5,0.69909
203,5,0.90914
204,5,0.82196
205,5,0.766
206,5,0.82999
207,5,0.92692
208,5,0.68508
209,5,0.73166
210,6,0.93326
211,6,0.97506
212,6,0.95398
213,6,0.93729
214,6,0.93595
215,6,0.95568
216,6,0.93925
217,6,0.94543
218,6,0.94088
219,6,0.91533
220,6,0.93493
221,6,0.94315
222,6,0.96051
223,6,0.96541
224,6,0.95121
225,6,0.95
226,6,0.95274
227,6,0.95588
228,6,0.91052
229,6,0.96082
230,6,0.94894
231,6,0.92141
232,6,0.93604
233,6,0.96506
234,6,0.88892
235,6,0.94653
236,6,0.90834
237,6,0.9669
238,6,0.94147
239,6,0.97195
240,6,0.86968
241,6,0.93728
242,6,0.90717
243,6,0.94322
244,6,0.8759
245,7,0.98762
246,7,0.98821
247,7,0.99555
248,7,0.99719
249,7,0.99526
250,7,0.99463
251,7,0.97296
252,7,0.974
253,7,1.0
254,7,0.99732
255,7,0.99097
256,7,0.99341
257,7,0.9729
258,7,0.93938
259,7,0.97404
260,7,0.98291
261,7,0.99816
262,7,0.95378
263,7,0.98186
264,7,0.99816
265,7,0.98879
266,7,0.99707
267,7,0.98798
268,7,0.92863
269,7,0.99555
270,7,0.98289
271,7,0.95355
272,7,0.98759
273,7,0.97331
274,7,0.97834
275,7,0.95535
276,7,0.96909
277,7,0.99707
278,8,0.96164
279,8,0.94164
280,8,1.0
281,8,0.97109
282,8,0.95736
283,8,0.99475
284,8,0.97636
285,8,0.97897
286,8,0.98682
287,8,0.99572
288,8,0.97571
289,8,0.99212
290,8,0.99509
291,8,0.98953
292,8,0.99959
293,8,0.97867
294,8,0.99153
295,8,0.98314
296,8,0.99672
297,8,0.97386
298,8,0.98107
299,8,0.95988
300,8,0.9763
301,8,0.9944
302,8,0.97726
303,8,0.99653
304,8,0.98621
305,8,0.99496
306,8,0.99122
307,8,0.94784
308,8,0.99477
309,8,0.97171
310,8,0.98553
311,8,0.96756
312,8,0.98578
313,8,0.97571
314,8,0.95899
315,8,0.97473
316,8,0.99703
317,8,0.9924
318,8,0.98286
319,8,0.98101
320,8,0.96709
321,8,0.98086
322,8,0.97536
323,8,0.97745
324,8,0.97576
325,8,0.98371
326,8,0.98506
327,8,0.97357
328,8,0.93424
329,8,0.99959
330,8,0.95888
331,8,0.99605
332,8,0.99074
333,8,0.99897
334,8,0.96632
335,8,0.99321
336,8,0.96597
337,8,0.97114
338,8,0.9748
339,8,0.9689
340,8,0.99332
341,8,0.98154
342,8,0.97332
343,8,0.98077
344,8,0.9978
345,8,0.98306
346,8,0.99617
347,8,0.99224
348,9,0.74735
349,9,0.77464
350,9,0.51475
351,9,0.28863
352,9,0.71181
353,9,0.94367
354,9,0.81978
355,9,0.40926
356,9,0.7161
357,9,0.77114
358,9,0.80119
359,9,0.78185
360,9,0.80613
361,9,0.63168
362,9,0.818
363,9,0.68522
364,9,0.35938
365,9,0.46825
366,9,0.72955
367,9,0.7018
368,9,0.77617
369,9,0.56346
370,9,0.88759
371,9,0.88548
372,9,0.88592
373,9,0.22672
374,9,0.53694
375,9,0.8351
376,9,0.84744
377,9,0.52194
378,9,0.37609
379,9,0.29197
380,9,0.73353
381,9,0.76463
382,9,0.46424
383,9,0.3103
384,9,0.7098
385,9,0.82169
386,9,0.79974
387,9,0.63943
388,9,0.72323
389,10,0.70651
390,10,0.63675
391,10,0.66608
392,10,0.87053
393,10,0.7067
394,10,0.6821
395,10,0.64818
396,10,0.42189
397,10,0.67604
398,10,0.85954
399,10,0.86788
400,10,0.81076
401,10,0.56028
402,10,0.62535
403,10,0.73821
404,10,0.60745
405,10,0.73904
406,10,0.64937
407,10,0.63139
408,10,0.45083
409,10,0.87937
410,10,0.21185
411,10,0.63637
412,10,0.8623
413,10,0.81671
414,10,0.72983
415,10,0.7684
416,10,0.82502
417,10,0.63093
418,10,0.78235
419,10,0.80523
420,10,0.53393
421,10,0.31512
422,10,0.78119
423,10,0.77196
424,10,0.80178
425,10,0.47243
426,10,0.68042
427,11,0.5335
428,11,0.90675
429,11,0.87715
430,11,0.91166
431,11,0.91387
432,11,0.87323
433,11,0.87797
434,11,0.78495
435,11,0.78208
436,11,0.82209
437,11,0.80175
438,11,0.24172
439,11,0.88357
440,11,0.17541
441,11,0.71248
442,11,0.66072
443,11,0.72728
444,11,0.78877
445,11,0.76439
446,11,0.77267
447,11,0.74742
448,11,0.51792
449,11,0.87825
450,11,0.77928
451,11,0.7172
452,11,0.90354
453,11,0.90313
454,11,0.79212
455,11,0.89578
456,11,0.85242
457,11,0.80179
458,11,0.86146
459,11,0.94683
460,11,0.84913
461,11,0.84618
462,11,0.82773
463,11,0.88872
464,11,0.84077
465,11,0.8624
466,11,0.64633
467,11,0.22449
468,11,0.90708
469,11,0.80222
470,11,0.77851
471,11,0.89817
472,11,0.36835
473,11,0.82246
474,11,0.75047
475,11,0.84431
476,11,0.87456
477,11,0.60077
478,11,0.83701
479,11,0.87812
480,11,0.91545
481,11,0.82036
482,11,0.8234
483,11,0.79845
484,11,0.79294
485,11,0.8397
486,11,0.77717
487,11,0.38051
488,11,0.72975
489,11,0.58745
490,11,0.49952
491,11,0.82774
492,11,0.7449
493,11,0.36617
494,11,0.80497
495,12,0.50184
496,12,0.83896
497,12,0.93444
498,12,0.54865
499,12,0.68692
500,12,0.92929
501,12,0.54866
502,12,0.53931
503,12,0.67443
504,12,0.69096
505,12,0.60727
506,12,0.9056
507,12,0.8161
508,12,0.8621
509,12,0.50684
510,12,0.68464
511,12,0.90102
512,12,0.89995
513,12,0.89377
514,12,0.92893
515,12,0.79404
516,12,0.76824
517,12,0.6119
518,12,0.50457
519,12,0.47942
520,12,0.73967
521,12,0.61907
522,12,0.74815
523,12,0.93613
524,12,0.66767
525,12,0.92223
526,12,0.66082
527,12,0.85652
528,12,0.35988
529,12,0.89159
530,12,0.38565
531,12,0.60045
532,12,0.8635
533,12,0.82709
534,12,0.40367
535,12,0.88888
536,12,0.80425
537,12,0.60908
538,12,0.86331
539,12,0.92447
540,12,0.81303
541,12,0.81998
542,12,0.70084
543,12,0.75428
544,12,0.2439
545,12,0.89589
546,12,0.86771
547,12,0.60328
548,12,0.84421
549,12,0.55536
550,12,0.75758
551,12,0.73812
552,12,0.69321
553,12,0.90604
554,12,0.85281
555,12,0.66722
556,12,0.7285
