image_index,label,recall@1,recall@5,recall@10,recall@20
0,1,0.03846,0.19231,0.38462,0.65385
1,1,0.03846,0.19231,0.38462,0.69231
2,1,0.03846,0.19231,0.38462,0.73077
3,1,0.03846,0.19231,0.38462,0.69231
4,1,0.03846,0.19231,0.38462,0.73077
5,1,0.03846,0.19231,0.38462,0.73077
6,1,0.03846,0.19231,0.38462,0.73077
7,1,0.03846,0.19231,0.38462,0.73077
8,1,0.03846,0.19231,0.34615,0.65385
9,1,0.03846,0.19231,0.26923,0.42308
10,1,0.03846,0.19231,0.38462,0.65385
11,1,0.03846,0.15385,0.30769,0.61538
12,1,0.03846,0.19231,0.38462,0.65385
13,1,0.03846,0.19231,0.38462,0.69231
14,1,0.03846,0.19231,0.38462,0.73077
15,1,0.03846,0.19231,0.38462,0.53846
16,1,0.03846,0.19231,0.38462,0.73077
17,1,0.03846,0.15385,0.30769,0.61538
18,1,0.03846,0.19231,0.38462,0.69231
19,1,0.03846,0.19231,0.38462,0.65385
20,1,0.03846,0.19231,0.34615,0.5
21,1,0.03846,0.15385,0.26923,0.34615
22,1,0.03846,0.03846,0.03846,0.03846
23,1,0.03846,0.19231,0.30769,0.46154
24,1,0.03846,0.19231,0.34615,0.61538
25,1,0.03846,0.11538,0.15385,0.26923
26,1,0.03846,0.11538,0.15385,0.26923
27,2,0.02083,0.10417,0.20833,0.41667
28,2,0.02083,0.10417,0.20833,0.41667
29,2,0.02083,0.10417,0.20833,0.41667
30,2,0.02083,0.10417,0.20833,0.41667
31,2,0.02083,0.10417,0.20833,0.41667
32,2,0.02083,0.10417,0.20833,0.41667
33,2,0.02083,0.10417,0.20833,0.41667
34,2,0.02083,0.10417,0.20833,0.41667
35,2,0.02083,0.10417,0.20833,0.41667
36,2,0.02083,0.10417,0.20833,0.41667
37,2,0.02083,0.10417,0.20833,0.41667
38,2,0.02083,0.10417,0.20833,0.41667
39,2,0.02083,0.10417,0.20833,0.41667
40,2,0.02083,0.10417,0.20833,0.41667
41,2,0.02083,0.10417,0.20833,0.41667
42,2,0.02083,0.10417,0.20833,0.41667
43,2,0.02083,0.10417,0.20833,0.41667
44,2,0.02083,0.10417,0.20833,0.41667
45,2,0.02083,0.10417,0.20833,0.39583
46,2,0.02083,0.10417,0.20833,0.41667
47,2,0.02083,0.10417,0.20833,0.41667
48,2,0.02083,0.10417,0.20833,0.375
49,2,0.02083,0.10417,0.20833,0.41667
50,2,0.02083,0.10417,0.20833,0.41667
51,2,0.02083,0.10417,0.20833,0.41667
52,2,0.02083,0.10417,0.20833,0.41667
53,2,0.02083,0.10417,0.20833,0.41667
54,2,0.02083,0.10417,0.20833,0.41667
55,2,0.02083,0.10417,0.20833,0.41667
56,2,0.02083,0.10417,0.20833,0.39583
57,2,0.02083,0.10417,0.20833,0.41667
58,2,0.02083,0.10417,0.20833,0.41667
59,2,0.02083,0.10417,0.20833,0.41667
60,2,0.02083,0.10417,0.20833,0.41667
61,2,0.02083,0.10417,0.20833,0.41667
62,2,0.02083,0.10417,0.20833,0.41667
63,2,0.02083,0.10417,0.20833,0.41667
64,2,0.02083,0.10417,0.20833,0.41667
65,2,0.02083,0.10417,0.20833,0.41667
66,2,0.02083,0.10417,0.20833,0.41667
67,2,0.02083,0.10417,0.20833,0.41667
68,2,0.02083,0.10417,0.20833,0.41667
69,2,0.02083,0.10417,0.20833,0.41667
70,2,0.02083,0.10417,0.20833,0.41667
71,2,0.02083,0.10417,0.20833,0.41667
72,2,0.02083,0.10417,0.20833,0.41667
73,2,0.02083,0.10417,0.20833,0.41667
74,2,0.02083,0.10417,0.20833,0.41667
75,2,0.02083,0.10417,0.20833,0.41667
76,3,0.02857,0.14286,0.25714,0.45714
77,3,0.02857,0.14286,0.28571,0.48571
78,3,0.02857,0.14286,0.25714,0.48571
79,3,0.02857,0.14286,0.28571,0.51429
80,3,0.02857,0.14286,0.28571,0.48571
81,3,0.0,0.05714,0.11429,0.31429
82,3,0.02857,0.11429,0.2,0.34286
83,3,0.02857,0.14286,0.25714,0.42857
84,3,0.02857,0.11429,0.14286,0.2
85,3,0.02857,0.14286,0.25714,0.51429
86,3,0.0,0.0,0.0,0.02857
87,3,0.02857,0.14286,0.28571,0.42857
88,3,0.02857,0.14286,0.28571,0.45714
